tree,MPD,n_leaves
FAM012684.nw,0.46277565616507926,36
FAM015052.nw,0.2594049463589744,13
FAM019287.nw,0.0452072568,5
FAM017012.nw,0.35019042123809524,7
FAM012982.nw,0.11880100867487685,29
FAM002498.nw,0.15923880941075266,31
FAM022753.nw,0.43571032,7
FAM017354.nw,1.0007880604000001,6
FAM017379.nw,0.126957822,6
FAM021038.nw,0.10675778335555554,10
FAM011977.nw,0.9730679342564105,13
FAM012520.nw,0.22795834105512822,40
FAM021709.nw,0.9203157048000001,5
FAM012771.nw,0.5964736031723076,26
FAM018403.nw,0.3057578326,5
FAM016846.nw,0.23601408220000003,5
FAM022407.nw,0.0062776855000000005,8
FAM019497.nw,0.7241386616190476,7
FAM016357.nw,0.22558578485507247,24
FAM013093.nw,0.21907648463193277,35
FAM022283.nw,0.249074106,7
FAM015981.nw,1.1911869096000003,30
FAM006761.nw,0.17896673690641027,40
FAM016833.nw,0.8351378597894736,19
FAM001922.nw,0.31653900400000007,6
FAM018842.nw,0.079931065,5
FAM021112.nw,0.7070012557692308,13
FAM008173.nw,0.22657800727272728,11
FAM022656.nw,0.7356639093333334,6
FAM013785.nw,0.4723339589242424,33
FAM011848.nw,0.049555700800000005,10
FAM017779.nw,0.3060367252380952,7
FAM022379.nw,0.8337173659999999,5
FAM016490.nw,0.11769750003448276,29
FAM016661.nw,1.0485936722545453,11
FAM020561.nw,0.16910764839999998,5
FAM018764.nw,0.692913565088889,10
FAM023247.nw,0.0277033174,5
FAM019666.nw,0.4861844967333333,6
FAM007083.nw,0.03698608322222222,9
FAM021046.nw,1.2589403131428567,8
FAM004587.nw,0.6312118952820512,13
FAM031268.nw,0.24570557313333338,6
FAM029759.nw,0.036621609799999996,5
FAM009509.nw,0.18604042616000002,25
FAM021013.nw,0.0850018942,5
FAM017806.nw,0.07675043437777777,10
FAM017315.nw,0.3347664686,5
FAM015808.nw,0.11108187727093596,29
FAM005379.nw,0.964777542,5
FAM016259.nw,0.46976952480000006,5
FAM012913.nw,0.20868347660000003,5
FAM021241.nw,0.16663076305555555,9
FAM002765.nw,0.3694810875164835,14
FAM014785.nw,0.388795290891129,32
FAM002432.nw,0.09203781694444445,9
FAM022012.nw,0.1605722754,5
FAM017753.nw,0.1137298726,5
FAM019439.nw,0.4146578852666666,6
FAM005819.nw,0.24318660384475807,32
FAM021643.nw,0.27443559640000004,5
FAM006336.nw,0.24421308679999998,6
FAM006842.nw,0.2843995374838709,32
FAM002969.nw,0.2848695823285917,38
FAM023210.nw,1.1045358464666668,6
FAM023252.nw,0.9090900888,6
FAM013713.nw,0.19529784220833335,16
FAM019945.nw,0.0534636266,5
FAM017191.nw,0.4617920340666665,10
FAM020109.nw,0.5900100542000001,5
FAM021545.nw,0.2391589990545455,11
FAM012405.nw,0.054839385418487395,35
FAM017727.nw,0.3584817875999999,6
FAM026125.nw,0.36795013666666665,6
FAM019000.nw,0.11544083939999998,5
FAM018466.nw,0.3619192216,5
FAM000907.nw,0.05288161769206349,36
FAM001002.nw,0.2444715606,5
FAM017652.nw,0.5865235944761905,15
FAM021094.nw,0.02384917072222222,9
FAM000466.nw,0.24304512464761902,21
FAM018175.nw,0.5210983521904763,7
FAM021403.nw,0.3112556113333333,6
FAM025219.nw,0.10222773579999997,5
FAM004962.nw,0.44662061047058815,18
FAM010176.nw,0.7603071887517242,30
FAM015982.nw,0.3734976437356322,30
FAM023749.nw,0.19487151586666665,6
FAM004205.nw,0.05570635999099099,37
FAM001088.nw,0.40432959129523804,15
FAM017163.nw,0.31055517083333334,9
FAM022351.nw,0.09699303599999999,8
FAM019829.nw,0.5733326246000002,6
FAM012823.nw,0.31882555161111115,36
FAM023929.nw,0.08640338361904762,7
FAM020709.nw,0.09963391200000002,5
FAM021777.nw,0.3517009306,6
FAM020282.nw,0.30437294659999997,5
FAM006651.nw,0.78080988935,16
FAM018592.nw,0.14402473123636364,11
FAM011160.nw,0.4012432445833333,24
FAM017204.nw,0.12019561193333334,6
FAM010773.nw,21.0748832422,5
FAM019909.nw,0.3435485100666667,6
FAM005712.nw,0.1936142982862903,32
FAM017702.nw,0.46505401059999996,5
FAM016650.nw,0.2804868542,6
FAM021015.nw,0.611984572,5
FAM023254.nw,0.056824123000000004,5
FAM010562.nw,0.2819407808876245,38
FAM015920.nw,0.6879966427619048,7
FAM018804.nw,0.11870270833333334,9
FAM022609.nw,0.277363003,5
FAM017103.nw,0.20547386642857143,8
FAM020432.nw,0.5500675938666667,15
FAM017744.nw,0.18682555299999998,5
FAM022406.nw,0.5116132462142857,8
FAM002422.nw,0.7850675093333334,13
FAM022346.nw,1.3440818192,5
FAM013929.nw,0.2957424787435898,13
FAM005577.nw,0.012624258199999999,5
FAM022329.nw,0.2067477135714286,8
FAM014173.nw,0.8816130165333335,6
FAM022250.nw,0.44318146066666664,6
FAM012902.nw,0.3880320015384615,14
FAM016678.nw,0.18487398453333334,10
FAM022785.nw,0.7494551596000001,5
FAM006088.nw,0.27240160810714287,8
FAM018460.nw,0.49814679166666664,6
FAM015779.nw,0.564371733142857,7
FAM021371.nw,0.3555538198636364,12
FAM001736.nw,0.14281338190476195,7
FAM012258.nw,0.3876876298333334,25
FAM021984.nw,0.3128082267333333,6
FAM011582.nw,0.3724959547333333,16
FAM016948.nw,0.08285073756862746,18
FAM027004.nw,0.22155401400000002,6
FAM016217.nw,0.12522168333333333,9
FAM020751.nw,1.006619413904762,7
FAM022650.nw,0.1357377500666667,6
FAM023233.nw,0.049767400399999995,5
FAM018677.nw,0.12959059667857142,8
FAM020123.nw,0.576199752469697,12
FAM001362.nw,0.1521787057834758,27
FAM016962.nw,0.4929771614545454,11
FAM023618.nw,0.6605826904,5
FAM029735.nw,0.5069410323809523,7
FAM017188.nw,0.30133834317378916,27
FAM018085.nw,0.02854853333333333,6
FAM031952.nw,0.5046336603333333,6
FAM016714.nw,0.9387500171071429,8
FAM019338.nw,0.41398203119999993,5
FAM021296.nw,0.8926505758888891,9
FAM019347.nw,0.0,7
FAM020258.nw,0.22352582399999998,5
FAM016013.nw,0.09277091245054946,14
FAM006026.nw,0.012163150600000002,6
FAM001928.nw,0.27573208289162565,29
FAM022389.nw,0.8918024694,5
FAM015702.nw,0.2907390915897436,27
FAM009477.nw,0.17519609670443348,29
FAM013530.nw,0.6401634433689517,32
FAM003468.nw,0.18209710207196972,33
FAM013055.nw,0.3928959451375661,28
FAM018429.nw,0.058300735733333345,6
FAM013004.nw,0.8854207040000001,5
FAM017157.nw,0.7507272735323076,26
FAM017832.nw,0.23364202628571432,8
FAM021165.nw,0.023863195999999996,5
FAM018756.nw,0.5594738606,5
FAM023447.nw,1.240988657,5
FAM017324.nw,0.33658768460000005,5
FAM031920.nw,0.44440070066666665,6
FAM017568.nw,0.1688346632,5
FAM022765.nw,1.1308881678,5
FAM020032.nw,0.27903892797499996,16
FAM019204.nw,0.1055702252,5
FAM021544.nw,0.4003022687472528,14
FAM020563.nw,0.9237383691333334,6
FAM031154.nw,0.06793437519999998,5
FAM019414.nw,0.14549343273333332,10
FAM022582.nw,0.6455458861333334,6
FAM021943.nw,0.7147797467619048,7
FAM018706.nw,0.06000088567857143,8
FAM009972.nw,0.871751692,9
FAM002308.nw,0.5905300722000001,5
FAM023584.nw,0.44076167307142855,8
FAM011636.nw,0.6559855831692308,26
FAM016293.nw,0.2657563638,5
FAM018869.nw,0.23590315933333333,6
FAM004929.nw,0.23933148618494623,31
FAM023441.nw,0.3600253622857143,7
FAM010981.nw,0.17828462624338626,28
FAM021465.nw,0.6434367908727271,11
FAM003909.nw,0.07316736500000001,5
FAM019757.nw,0.213650826,5
FAM013784.nw,0.2137454381666667,40
FAM014727.nw,0.6044957919415385,26
FAM022326.nw,0.7489973271333333,6
FAM021007.nw,0.6456960218,6
FAM019793.nw,0.32076600232142854,8
FAM016299.nw,0.5231976009999999,5
FAM015989.nw,0.6135971691333335,30
