2025-11-05 11:04:56   --- Hyperparameters ---
2025-11-05 11:04:56   model = AAConvNet(
2025-11-05 11:04:56     (conv_layer): Sequential(
2025-11-05 11:04:56       (0): Conv1d(22, 64, kernel_size=(1,), stride=(1,))
2025-11-05 11:04:56       (1): ReLU()
2025-11-05 11:04:56       (2): AdaptiveAvgPool1d(output_size=1)
2025-11-05 11:04:56       (3): Dropout(p=0.2, inplace=False)
2025-11-05 11:04:56     )
2025-11-05 11:04:56     (dense_layer): Linear(in_features=64, out_features=1, bias=True)
2025-11-05 11:04:56   )
2025-11-05 11:04:56   split_proportion = 0.9
2025-11-05 11:04:56   batch_pad_sequences = False
2025-11-05 11:04:56   learning_rate = 0.01
2025-11-05 11:04:56   batch_size = 64
2025-11-05 11:04:56   max_epochs = 500
2025-11-05 11:04:56   early_stopping_patience = 20
2025-11-05 11:04:56   kernel_size = 1
2025-11-05 11:04:56   --- Creating loaders ---
2025-11-05 11:04:56   --- Training start ---
2025-11-05 11:04:56   Start training using cpu device.
2025-11-05 11:04:56   Number of model parameters: 1537.
2025-11-05 11:04:56   Epoch   Train loss   Valid loss   Valid acc    F1-score        Lr   Best
2025-11-05 11:04:56   ------------------------------------------------------------------------
2025-11-05 11:05:31      58        0.000        0.000       1.000       1.000   0.00587      *
2025-11-05 11:05:31      59        0.000        0.000       1.000       1.000   0.00581      *
2025-11-05 11:05:32      60        0.000        0.000       1.000       1.000   0.00575      *
2025-11-05 11:05:33      61        0.000        0.000       1.000       1.000   0.00570      *
2025-11-05 11:05:33      62        0.000        0.000       1.000       1.000   0.00564      *
2025-11-05 11:05:34      63        0.000        0.000       1.000       1.000   0.00558      *
2025-11-05 11:05:34      64        0.000        0.000       1.000       1.000   0.00553      *
2025-11-05 11:05:35      65        0.000        0.000       1.000       1.000   0.00547      *
2025-11-05 11:05:36      66        0.000        0.000       1.000       1.000   0.00542      *
2025-11-05 11:05:36      67        0.000        0.000       1.000       1.000   0.00536      *
2025-11-05 11:05:37      68        0.000        0.000       1.000       1.000   0.00531      *
2025-11-05 11:05:37      69        0.000        0.000       1.000       1.000   0.00526      *
2025-11-05 11:05:38      70        0.000        0.000       1.000       1.000   0.00520      *
2025-11-05 11:05:39      71        0.000        0.000       1.000       1.000   0.00515      *
2025-11-05 11:05:39      72        0.000        0.000       1.000       1.000   0.00510      *
2025-11-05 11:05:40      73        0.000        0.000       1.000       1.000   0.00505      *
